% Model:              物镜.mph
% Version:            COMSOL 6.0.0.318
% Date:               May 13 2023, 23:17
% Dimension:          1
% Nodes:              616
% Expressions:        1
% Description:        线结果图
% r                       磁场，Z 分量
0                         4.383411424880699E-6
3.978070961911384E-4      0.001517237371978383
7.956141923823046E-4      0.003030091332531885
0.001193421288573443      0.0045429452930853854
0.0015912283847646091     0.006055799253638888
0.0019890354809557476     0.007568653214192392
0.0023868425771469        0.009106096240569706
0.002784649673338052      0.010637758784921663
0.0031824567695291905     0.012169421329273622
0.003580263865720343      0.013701083873625577
0.003978070961911495      0.01523897338259199
0.0043758780581026335     0.016815171289180465
0.0047736851542938        0.01838514223115449
0.005171492250484938      0.01995511317312851
0.00556929934667609       0.02152508411510254
0.005967106442867243      0.023102319428392096
0.006364913539058381      0.024738170585803392
0.006762720635249547      0.02636675737189915
0.007160527731440686      0.02799534415799491
0.007558334827631838      0.029623930944090663
0.00795614192382299       0.03126045519076531
0.008353949020014129      0.032977381240866764
0.008751756116205295      0.03468636983038928
0.009149563212396433      0.03639535841991181
0.0095473703085876        0.03810434700943434
0.009945177404778738      0.039820927920548956
0.01034298450096989       0.0416413392405021
0.010740791597161042      0.04345415823886313
0.01113859869335218       0.04526697723722418
0.011536405789543347      0.047079796235585225
0.011934212885734485      0.04890143920441387
0.012332019981925638      0.05085258757040533
0.01272982707811679       0.05279491196592918
0.013127634174307928      0.054737236361453036
0.01352544127049908       0.056679560756976874
0.013923248366690233      0.05863131619918248
0.014321055462881371      0.060743545272451564
0.014718862559072537      0.06284634329903893
0.015116669655263676      0.06494914132562629
0.015514476751454828      0.06705193935221365
0.01591228384764598       0.06916445539371367
0.01631009094383712       0.0714740404854154
0.016707898040028285      0.07377390756220455
0.017105705136219423      0.07607377463899365
0.017503512232410576      0.07837364171578277
0.017901319328601728      0.08068262668191477
0.018299126424792866      0.08323469953935649
0.018696933520984033      0.08577765450745531
0.01909474061717517       0.08832060947555417
0.019492547713366337      0.090863564443653
0.019890354809557476      0.09341635652443994
0.020288161905748628      0.09627071003890345
0.02068596900193978       0.09911522644067881
0.02108377609813092       0.10195974284245417
0.021481583194322085      0.10480425924422958
0.021879390290513223      0.107658627282051
0.022277197386704375      0.11088827188017043
0.022675004482895528      0.11410806484224376
0.023072811579086666      0.11732785780431712
0.02347061867527782       0.12054765076639047
0.02386842577146897       0.12376744372846385
0.02426623286766011       0.12743222529654633
0.024664039963851275      0.13109955715496582
0.025061847060042414      0.13476688901338535
0.025459654156233566      0.13843422087180485
0.02585746125242472       0.1420846617598563
0.026255268348615857      0.14621730293413387
0.026653075444807023      0.15036683507877957
0.02705088254099816       0.1545163672234253
0.027448689637189314      0.158665899368071
0.027846496733380466      0.1630242356982436
0.0282320402602063        0.167870530573006
0.028617583787032136      0.17250802126224143
0.029003127313857957      0.17714551195147685
0.029388670840683792      0.18178300264071234
0.029774214367509627      0.19075046941139273
0.030128899063012693      0.20530453779480035
0.030483583758515786      0.21552863009676312
0.030838268454018852      0.22575272239872585
0.031192953149521932      0.23597681470068854
0.03154763784502501       0.25996587420786765
0.03186880927363936       0.3383138486026183
0.03218998070225371       0.4028968557921526
0.032511152130868054      0.4674798629816868
0.0328323235594824        0.5320628701712211
0.03315349498809675       0.7696362236631209
0.033444274203381225      1.274971869966135
0.033735053418665714      1.6073171699667836
0.034025832633950204      1.9396624699674323
0.03431661184923468       2.272007769968081
0.034607391064519155      4.6040812535196025
0.034870670632934114      9.777395018121124
0.03513395020134907       12.95098059917177
0.03539722976976402       16.124566180222406
0.03566050933817898       19.298151761273058
0.03592378890659392       28.946351376600525
0.036162078345771745      56.98485166781098
0.03640036778494957       78.5487379247446
0.036638657224127374      100.11262418167823
0.036876946663305196      121.67651043861187
0.03711523610248302       164.188500814948
0.0373310322608215        299.92833232791287
0.03754682841916          414.7200597214751
0.0377626245774985        529.5117871150372
0.037978420735836994      644.3035145085998
0.03819421689417549       872.4214203520621
0.038389522825341346      1403.5478056309378
0.03858482875650722       1821.348012459913
0.03878013468767308       2239.1482192888884
0.038975440618838945      2656.948426117864
0.03917074655000481       3443.6762771056865
0.03934764562833909       5001.836271239532
0.03952454470667338       6191.068621214533
0.03970144378500766       7380.300971189533
0.039878342863341944      8569.533321164532
0.04005524194167623       9118.422888476587
0.04021528674199009       9301.291865214465
0.040375331542303966      10124.503624615287
0.040535376342617835      10947.71538401611
0.040695421142931704      11770.927143416931
0.04085546594324557       12704.001146795112
0.04100043890065314       13104.105771128538
0.04114541185806072       13394.348151484599
0.04129038481546829       13684.590531840666
0.04143535777287587       13974.832912196729
0.041580330730283444      14324.075852195145
0.04171157017148263       14500.810901456232
0.04184280961268182       14618.545391074966
0.041974049053881         14736.2798806937
0.04210528849508018       14854.01437031244
0.04223652793627937       14986.846713327224
0.042355278204879596      15079.911747506974
0.04247402847347982       15157.878928290678
0.04259277874208005       15235.846109074379
0.04271152901068027       15313.813289858092
0.04283027927928049       15391.453088051905
0.04293784652044145       15454.97601058956
0.04304541376160241       15518.826315717088
0.04315298100276337       15582.676620844626
0.04326054824392433       15646.52692597216
0.04336811548508529       15702.806556692638
0.04346555283413189       15736.349202511581
0.04356299018317851       15777.462522737585
0.04366042753222511       15818.575842963593
0.04375786488127173       15859.6891631896
0.04385530223031833       15888.109644949403
0.04394471220103435       15874.49378336858
0.04403412217175037       15873.570760253951
0.04412353214246639       15872.647737139325
0.04421294211318241       15871.724714024707
0.04430235208389843       15852.669554084361
0.04438814070474468       15761.494564889497
0.044473929325590925      15688.451712520347
